Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Oman,'071410,"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced ...",400,473,633,649,568
Oman,'071021,"Shelled or unshelled peas ""Pisum sativum"", uncooked or cooked by steaming or by boiling in ...",1293,1056,1294,1093,553
Oman,'071360,"Dried, shelled pigeon peas ""Cajanus cajan"", whether or not skinned or split",0,17,9,34,514
Oman,'070110,Seed potatoes,203,185,21,252,509
Oman,'071420,"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",120,182,448,418,477
Oman,'071190,"Vegetables and mixtures of vegetables provisionally preserved, e.g. by sulphur dioxide gas, ...",10,17,45,267,436
Oman,'071440,"Taro ""Colocasia spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form ...",11,7,132,393,415
Oman,'071290,"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not ...",182,163,300,298,410
Oman,'071430,"Yams ""Dioscorea spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form ...",17,33,249,455,403
Oman,'071029,"Leguminous vegetables, shelled or unshelled, uncooked or cooked by steaming or by boiling in ...",429,408,527,449,384
Oman,'070820,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled",508,386,537,337,290
Oman,'070890,"Fresh or chilled leguminous vegetables, shelled or unshelled (excluding peas ""Pisum sativum"" ...",445,214,474,522,243
Oman,'070993,"Fresh or chilled pumpkins, squash and gourds ""Cucurbita spp.""",62,330,148,199,225
Oman,'070959,"Fresh or chilled edible mushrooms and truffles (excluding mushrooms of the genus ""Agaricus"")",87,428,71,72,224
Oman,'070920,Fresh or chilled asparagus,52,43,185,230,187
Oman,'071220,"Dried onions, whole, cut, sliced, broken or in powder, but not further prepared",124,82,257,164,161
Oman,'071120,"Olives, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",375,154,130,51,141
Oman,'070390,"Leeks and other alliaceous vegetables, fresh or chilled (excluding onions, shallots and garlic)",7,13,139,232,132
Oman,'070930,"Fresh or chilled aubergines ""eggplants""",52,73,76,172,121
Oman,'071332,"Dried, shelled small red ""Adzuki"" beans ""Phaseolus or Vigna angularis"", whether or not skinned ...",79,152,294,198,112
Oman,'070490,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excluding cauliflowers, ...",1879,1649,419,535,111
Oman,'071490,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin ...",225,158,145,165,89
Oman,'070810,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled",186,143,120,158,86
Oman,'071022,"Shelled or unshelled beans ""Vigna spp., Phaseolus spp."", uncooked or cooked by steaming or ...",362,432,589,574,77
Oman,'070690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding ...",441,577,342,287,67
Oman,'070940,Fresh or chilled celery (excluding celeriac),66,132,134,329,62
Oman,'071239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...",7,75,118,76,43
Oman,'070970,"Fresh or chilled spinach, New Zealand spinach and orache spinach",42,46,212,99,32
Oman,'071030,"Spinach, New Zealand spinach and orache spinach, uncooked or cooked by steaming or by boiling ...",163,168,222,252,31
Oman,'071159,"Mushrooms and truffles, provisionally preserved, e.g., by sulphur dioxide gas, in brine, in ...",2,0,0,0,22
Oman,'070951,"Fresh or chilled mushrooms of the genus ""Agaricus""",102,90,161,199,18
Oman,'071231,"Dried mushrooms of the genus ""Agaricus"", whole, cut, sliced, broken or in powder, but not further ...",1,0,58,38,16
Oman,'071232,"Dried wood ears ""Auricularia spp."", whole, cut, sliced, broken or in powder, but not further ...",9,0,9,0,12
Oman,'071140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",38,8,14,12,9
Oman,'070991,Fresh or chilled globe artichokes,27,56,4,30,9
Oman,'070992,Fresh or chilled olives,33,70,42,121,8
Oman,'070529,Fresh or chilled chicory (excluding witloof chicory),1,28,98,34,6
Oman,'070420,"Brussels sprouts, fresh or chilled",273,158,380,411,6
Oman,'070521,Fresh or chilled witloof chicory,2,3,1,13,4
Oman,'071334,"Dried, shelled bambara beans ""Vigna subterranea or Voandzeia subterranea"", whether or not skinned ...",0,0,5,19,2
Oman,'071151,"Mushrooms of the genus ""Agaricus"", provisionally preserved, e.g., by sulphur dioxide gas, in ...",0,3,13,2,
Oman,'071230,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared",0,0,0,0,
Oman,'071233,"Dried jelly fungi ""Tremella spp."", whole, cut, sliced, broken or in powder, but not further ...",0,1,0,0,
Oman,'070910,Fresh or chilled globe artichokes,0,0,0,0,
Oman,'070990,"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ...",0,0,0,0,
